%
% ARFF data file, generated by KNIME
%
% Date: Tue Apr 14 11:57:48 CEST 2015
% User: carlosan
%

@RELATION DataTable
@ATTRIBUTE MONTH	{October,June,April,December,November,July,January,September,May,February,August,March}
@ATTRIBUTE HOUR	{21:00,17:00,2:00,4:00,11:00,13:00,15:00,22:00,23:00,7:00,0:00,18:00,6:00,1:00,16:00,12:00,5:00,20:00,3:00,19:00,14:00,8:00,10:00,9:00}
@ATTRIBUTE pressure	INTEGER
@ATTRIBUTE three_hour_pressure_change	INTEGER
@ATTRIBUTE wind_direction	INTEGER
@ATTRIBUTE wind_speed	REAL
@ATTRIBUTE visibility	INTEGER
@ATTRIBUTE cloud_cover	INTEGER
@ATTRIBUTE height_of_base_of_cloud	INTEGER
@ATTRIBUTE dewpoint	REAL
@ATTRIBUTE drybulb	REAL
@ATTRIBUTE char_pressure_tendency_string	{lower,higher,'same or lower',steady,'same or higher'}
@ATTRIBUTE present_weather_string	{'no meteors during the past hour',rain,'showery precipitation','solid precipitation not in showers',drizzle,'showers of rain',precipitation,'fog or ice fog preceding hour',mist,snow,fog,patches,'thunderstorm preceding hour',lightning,'freezing drizzle or rain','showers of snow','thunderstorm no precipitation','rain and snow','showers of hail','haze dust or smoke','funnel clouds'}
@ATTRIBUTE past_weather1_string	{'cloud covering the sky',rain,thunderstorm,snow,showers,drizzle,'fog or ice fog or thick haze'}
@ATTRIBUTE past_weather2_string	{'cloud covering the sky',rain,drizzle,snow,'fog or ice fog or thick haze',showers,thunderstorm,'sandstorm duststorm or blowing snow'}
@ATTRIBUTE cloud_type_string	{'stratus nebulosus','cumulus and stratocumulus not cumulogenitus','low clouds invisible due to darknes fog dust or sand','stratocumulus not cumulogenitus','cumulus humilis','stratus fractus','cumulus mediocris','no low clouds','cumulonimbus capillatus','stratocumulus cumulogenitus','cumulunimbus calvus'}
@ATTRIBUTE FOG+3	{NO,YES}

@DATA
May,22:00,100860,120,20,9.719,30000,0,?,4.15,7.75,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','low clouds invisible due to darknes fog dust or sand',NO
December,13:00,98880,40,210,38.876,2500,7,80,7.35,7.95,higher,mist,'cloud covering the sky','cloud covering the sky','stratus nebulosus',NO
September,18:00,101050,0,20,38.876,25000,3,1750,10.55,16.75,'same or lower','no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
June,11:00,101180,110,260,58.314,25000,4,800,10.35,17.45,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
July,13:00,100220,?,180,58.314,25000,3,1750,10.05,27.25,?,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus humilis',NO
January,20:00,99980,-20,210,136.066,20000,2,800,4.55,8.55,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','stratocumulus not cumulogenitus',NO
April,3:00,99900,-230,150,77.752,10000,8,800,4.85,6.65,lower,rain,rain,rain,'stratocumulus not cumulogenitus',NO
February,9:00,99860,130,30,136.066,5000,8,150,0.65,1.35,higher,'solid precipitation not in showers',snow,snow,'stratus fractus',NO
April,1:00,99920,-60,160,58.314,25000,2,8000,3.95,9.15,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
June,15:00,100870,-30,330,77.752,30000,6,1250,10.85,22.05,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus mediocris',NO
July,18:00,100120,-40,270,77.752,25000,7,1250,11.55,19.55,lower,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus and stratocumulus not cumulogenitus',NO
June,18:00,100940,130,280,136.066,30000,2,1250,5.95,17.65,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','cumulus mediocris',NO
July,5:00,101470,-30,10,58.314,400,7,80,13.25,13.85,lower,fog,'fog or ice fog or thick haze','cloud covering the sky','stratus nebulosus',NO
July,23:00,99820,40,330,19.438,25000,5,3500,15.35,16.65,higher,'no meteors during the past hour','cloud covering the sky','cloud covering the sky','no low clouds',NO
